2.001572 : Timeout waiting for response
2.001825 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001860 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001881 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001903 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001923 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001941 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
2.001962 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
2.001981 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002000 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
2.002028 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
2.002053 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
