0.001011 : Error parsing incoming data: CRC error
0.001196 : x4driver_init: module reponded with XTS_SPR_ERROR error code: 1
4.021212 : Failed to write all bytes to module, expected bytes written: 5, actual bytes written: 0
4.021321 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021346 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021369 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021390 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021421 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021448 : Failed to write all bytes to module, expected bytes written: 13, actual bytes written: 0
4.021500 : Failed to write all bytes to module, expected bytes written: 17, actual bytes written: 0
4.021519 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021539 : Failed to write all bytes to module, expected bytes written: 10, actual bytes written: 0
4.021560 : Failed to write all bytes to module, expected bytes written: 9, actual bytes written: 0
